Valor_ADC_12bits	Frecuencia
1723	1
1725	2
1728	1
1734	2
1741	1
1742	1
1743	3
1745	2
1746	1
1747	3
1748	3
1749	1
1750	8
1751	3
1752	5
1753	2
1754	4
1755	26
1756	36
1757	63
1758	97
1759	99
1760	86
1761	79
1762	69
1763	55
1764	73
1765	64
1766	50
1767	30
1768	41
1769	36
1770	49
1771	27
1772	42
1773	48
1774	43
1775	31
1776	41
1777	33
1778	38
1779	25
1780	37
1781	33
1782	25
1783	33
1784	39
1785	24
1786	27
1787	30
1788	28
1789	34
1790	26
1791	39
1792	32
1793	17
1794	37
1795	25
1796	19
1797	25
1798	16
1799	21
1800	24
1801	20
1802	19
1803	19
1804	21
1805	21
1806	21
1807	22
1808	20
1809	23
1810	25
1811	18
1812	21
1813	17
1814	25
1815	9
1816	25
1817	19
1818	21
1819	22
1820	20
1821	22
1822	17
1823	15
1824	16
1825	24
1826	21
1827	19
1828	23
1829	18
1830	19
1831	11
1832	23
1833	26
1834	18
1835	12
1836	20
1837	15
1838	20
1839	17
1840	23
1841	21
1842	17
1843	21
1844	14
1845	17
1846	14
1847	13
1848	23
1849	17
1850	11
1851	13
1852	15
1853	11
1854	17
1855	15
1856	12
1857	11
1858	17
1859	16
1860	23
1861	16
1862	15
1863	7
1864	15
1865	14
1866	22
1867	19
1868	8
1869	21
1870	11
1871	17
1872	11
1873	13
1874	9
1875	13
1876	11
1877	12
1878	11
1879	4
1880	16
1881	14
1882	17
1883	14
1884	15
1885	20
1886	15
1887	13
1888	15
1889	15
1890	20
1891	25
1892	22
1893	14
1894	15
1895	6
1896	21
1897	25
1898	12
1899	17
1900	14
1901	29
1902	19
1903	11
1904	13
1905	13
1906	14
1907	9
1908	17
1909	20
1910	16
1911	9
1912	12
1913	15
1914	17
1915	14
1916	16
1917	14
1918	16
1919	7
1920	14
1921	16
1922	14
1923	8
1924	13
1925	9
1926	16
1927	6
1928	9
1929	12
1930	8
1931	13
1932	13
1933	18
1934	25
1935	11
1936	15
1937	19
1938	16
1939	13
1940	12
1941	12
1942	14
1943	2
1944	14
1945	12
1946	13
1947	16
1948	12
1949	17
1950	18
1951	11
1952	19
1953	10
1954	16
1955	15
1956	8
1957	15
1958	8
1959	12
1960	8
1961	12
1962	14
1963	14
1964	18
1965	7
1966	11
1967	14
1968	15
1969	17
1970	18
1971	18
1972	11
1973	11
1974	10
1975	10
1976	12
1977	17
1978	11
1979	12
1980	12
1981	12
1982	9
1983	11
1984	12
1985	24
1986	10
1987	9
1988	7
1989	9
1990	10
1991	8
1992	21
1993	15
1994	16
1995	12
1996	10
1997	6
1998	14
1999	5
2000	11
2001	10
2002	10
2003	10
2004	10
2005	8
2006	14
2007	9
2008	17
2009	12
2010	11
2011	10
2012	20
2013	10
2014	14
2015	18
2016	22
2017	6
2018	16
2019	12
2020	6
2021	23
2022	20
2023	5
2024	16
2025	18
2026	12
2027	13
2028	17
2029	10
2030	15
2031	15
2032	19
2033	11
2034	18
2035	11
2036	10
2037	14
2038	15
2039	7
2040	5
2041	11
2042	19
2043	8
2044	16
2045	18
2046	5
2048	20
2049	16
2050	17
2051	18
2052	13
2053	8
2054	15
2055	13
2056	8
2057	16
2058	12
2059	12
2060	10
2061	14
2062	11
2063	11
2064	18
2065	6
2066	16
2067	14
2068	18
2069	11
2070	12
2071	5
2072	11
2073	16
2074	15
2075	10
2076	11
2077	17
2078	15
2079	10
2080	14
2081	14
2082	9
2083	15
2084	9
2085	16
2086	9
2087	11
2088	13
2089	11
2090	16
2091	14
2092	9
2093	12
2094	16
2095	17
2096	8
2097	13
2098	12
2099	9
2100	10
2101	15
2102	16
2103	9
2104	15
2105	10
2106	18
2107	20
2108	14
2109	15
2110	13
2111	9
2112	24
2113	13
2114	12
2115	15
2116	14
2117	12
2118	7
2119	9
2120	26
2121	14
2122	15
2123	18
2124	18
2125	13
2126	8
2127	12
2128	21
2129	16
2130	13
2131	13
2132	11
2133	14
2134	18
2135	8
2136	14
2137	20
2138	14
2139	14
2140	12
2141	15
2142	12
2143	17
2144	14
2145	18
2146	17
2147	13
2148	11
2149	19
2150	16
2151	10
2152	16
2153	14
2154	13
2155	15
2156	12
2157	18
2158	18
2159	15
2160	12
2161	14
2162	21
2163	20
2164	14
2165	22
2166	15
2167	11
2168	18
2169	18
2170	17
2171	25
2172	11
2173	22
2174	22
2175	4
2176	19
2177	20
2178	21
2179	21
2180	12
2181	15
2182	19
2183	11
2184	22
2185	20
2186	20
2187	14
2188	11
2189	21
2190	27
2191	12
2192	29
2193	22
2194	20
2195	27
2196	20
2197	20
2198	29
2199	12
2200	17
2201	12
2202	25
2203	22
2204	17
2205	27
2206	32
2207	21
2208	21
2209	15
2210	22
2211	20
2212	20
2213	32
2214	22
2215	20
2216	27
2217	20
2218	19
2219	25
2220	27
2221	27
2222	27
2223	26
2224	26
2225	26
2226	18
2227	21
2228	34
2229	20
2230	30
2231	21
2232	33
2233	34
2234	41
2235	37
2236	34
2237	32
2238	31
2239	25
2240	44
2241	41
2242	45
2243	32
2244	42
2245	38
2246	55
2247	38
2248	37
2249	41
2250	45
2251	50
2252	60
2253	75
2254	93
2255	71
2256	99
2257	90
2258	75
2259	56
2260	27
2261	11
2262	7
2263	7
2264	6
2265	7
2266	4
2267	2
2268	2
2269	1
2270	4
2272	1
2274	1
2277	1
2278	1
2283	1
2284	1
2295	1
2296	1
2298	2
