Valor_ADC_12bits	Frecuencia
660	1
662	1
664	4
665	1
666	4
667	6
668	1
669	1
672	1
694	2
698	1
701	1
702	1
704	1
705	1
706	1
707	2
709	3
710	1
712	1
714	3
715	1
717	2
718	4
719	1
720	1
721	2
722	1
723	5
724	3
725	6
726	10
727	10
728	9
729	5
730	1
731	2
732	9
733	8
734	9
735	10
736	15
737	14
738	15
739	27
740	23
741	31
742	34
743	34
744	39
745	56
746	47
747	44
748	39
749	48
750	51
751	54
752	91
753	108
754	144
755	188
756	292
757	437
758	686
759	668
760	1056
761	1258
762	1040
763	859
764	614
765	482
766	320
767	319
768	135
769	109
770	64
771	63
772	54
773	30
774	27
775	17
776	23
777	29
778	18
779	16
780	10
781	7
782	6
783	6
784	10
785	5
786	8
787	8
788	3
789	5
790	3
791	2
792	4
793	5
794	3
795	1
796	2
797	2
798	2
799	1
800	3
801	1
802	2
803	1
804	1
805	1
807	1
808	2
809	1
810	2
811	1
813	1
814	1
815	1
817	1
818	2
819	1
820	1
821	1
824	1
829	1
835	1
837	1
838	3
839	4
840	4
841	6
842	2
843	3
859	1
