Valor_ADC_12bits	Frecuencia
1446	1
1460	1
1463	2
1467	1
1470	1
1471	2
1472	1
1473	1
1474	2
1477	2
1478	3
1479	4
1480	5
1481	6
1482	15
1483	33
1484	46
1485	52
1486	66
1487	57
1488	64
1489	52
1490	56
1491	47
1492	36
1493	38
1494	31
1495	15
1496	21
1497	41
1498	28
1499	20
1500	27
1501	28
1502	27
1503	19
1504	17
1505	29
1506	22
1507	23
1508	21
1509	27
1510	17
1511	15
1512	23
1513	16
1514	18
1515	17
1516	18
1517	20
1518	13
1519	22
1520	20
1521	23
1522	20
1523	19
1524	20
1525	9
1526	15
1527	16
1528	18
1529	14
1530	11
1531	14
1532	17
1533	14
1534	2
1536	19
1537	9
1538	10
1539	19
1540	10
1541	17
1542	14
1543	13
1544	15
1545	14
1546	15
1547	6
1548	14
1549	11
1550	11
1551	10
1552	12
1553	12
1554	16
1555	17
1556	14
1557	11
1558	11
1559	8
1560	14
1561	6
1562	17
1563	9
1564	20
1565	8
1566	4
1567	12
1568	13
1569	13
1570	11
1571	18
1572	14
1573	10
1574	8
1575	9
1576	10
1577	16
1578	9
1579	13
1580	13
1581	9
1582	10
1583	10
1584	10
1585	16
1586	11
1587	11
1588	4
1589	7
1590	5
1591	5
1592	10
1593	14
1594	13
1595	10
1596	6
1597	10
1598	8
1599	10
1600	17
1601	10
1602	10
1603	6
1604	6
1605	5
1606	10
1607	4
1608	6
1609	8
1610	12
1611	7
1612	14
1613	15
1614	7
1615	7
1616	11
1617	4
1618	11
1619	15
1620	11
1621	14
1622	11
1623	6
1624	11
1625	11
1626	12
1627	13
1628	9
1629	12
1630	12
1631	7
1632	9
1633	12
1634	7
1635	8
1636	14
1637	6
1638	8
1639	3
1640	11
1641	10
1642	10
1643	8
1644	9
1645	9
1646	5
1647	1
1648	7
1649	12
1650	6
1651	5
1652	6
1653	9
1654	9
1655	7
1656	16
1657	10
1658	13
1659	11
1660	12
1661	5
1662	8
1663	3
1664	9
1665	8
1666	3
1667	9
1668	9
1669	9
1670	10
1671	10
1672	16
1673	11
1674	5
1675	8
1676	13
1677	3
1678	4
1679	5
1680	7
1681	9
1682	9
1683	12
1684	8
1685	11
1686	12
1687	6
1688	4
1689	7
1690	8
1691	9
1692	8
1693	16
1694	15
1695	9
1696	6
1697	9
1698	11
1699	10
1700	5
1701	7
1702	7
1703	9
1704	11
1705	11
1706	11
1707	9
1708	12
1709	8
1710	9
1711	2
1712	7
1713	8
1714	5
1715	10
1716	10
1717	6
1718	10
1719	5
1720	2
1721	8
1722	7
1723	8
1724	3
1725	11
1726	9
1727	6
1728	6
1729	8
1730	15
1731	9
1732	14
1733	9
1734	9
1735	4
1736	3
1737	4
1738	11
1739	2
1740	7
1741	9
1742	6
1743	7
1744	5
1745	8
1746	7
1747	5
1748	5
1749	9
1750	5
1751	5
1752	7
1753	5
1754	11
1755	12
1756	6
1757	4
1758	7
1759	8
1760	7
1761	7
1762	10
1763	6
1764	6
1765	8
1766	9
1767	4
1768	4
1769	14
1770	4
1771	9
1772	10
1773	8
1774	6
1775	3
1776	7
1777	4
1778	16
1779	6
1780	9
1781	3
1782	5
1783	3
1784	10
1785	7
1786	6
1787	8
1788	7
1789	10
1790	7
1791	12
1792	8
1793	6
1794	9
1795	7
1796	11
1797	7
1798	9
1799	8
1800	6
1801	8
1802	6
1803	6
1804	5
1805	6
1806	8
1807	5
1808	6
1809	4
1810	6
1811	5
1812	8
1813	5
1814	6
1815	6
1816	5
1817	7
1818	4
1819	10
1820	10
1821	10
1822	9
1823	11
1824	2
1825	6
1826	3
1827	8
1828	2
1829	4
1830	9
1831	4
1832	10
1833	3
1834	13
1835	4
1836	7
1837	3
1838	6
1839	5
1840	10
1841	13
1842	6
1843	3
1844	8
1845	5
1846	6
1847	4
1848	8
1849	8
1850	2
1851	3
1852	7
1853	4
1854	8
1855	5
1856	4
1857	2
1858	4
1859	8
1860	4
1861	9
1862	7
1863	6
1864	6
1865	5
1866	8
1867	5
1868	4
1869	10
1870	5
1871	7
1872	3
1873	6
1874	9
1875	8
1876	8
1877	6
1878	4
1879	1
1880	4
1881	3
1882	4
1883	4
1884	4
1885	9
1886	5
1887	5
1888	11
1889	9
1890	5
1891	4
1892	5
1893	6
1894	6
1895	2
1896	6
1897	8
1898	10
1899	9
1900	9
1901	7
1902	9
1903	3
1904	3
1905	5
1906	8
1907	7
1908	3
1909	7
1910	2
1911	7
1912	7
1913	5
1914	10
1915	7
1916	10
1917	4
1918	8
1919	7
1920	3
1921	4
1922	7
1923	5
1924	13
1925	7
1926	5
1927	2
1928	9
1929	5
1930	6
1931	8
1932	8
1933	7
1934	7
1935	3
1936	7
1937	8
1938	11
1939	10
1940	7
1941	8
1942	7
1943	2
1944	7
1945	10
1946	8
1947	8
1948	6
1949	6
1950	3
1951	6
1952	8
1953	10
1954	5
1955	4
1956	7
1957	3
1958	4
1959	7
1960	10
1961	5
1962	7
1963	9
1964	4
1965	3
1966	9
1967	3
1968	6
1969	6
1970	7
1971	12
1972	7
1973	2
1974	6
1975	5
1976	9
1977	10
1978	7
1979	11
1980	8
1981	6
1982	5
1983	12
1984	8
1985	7
1986	4
1987	6
1988	4
1989	8
1990	12
1991	6
1992	6
1993	6
1994	4
1995	8
1996	6
1997	3
1998	2
1999	8
2000	4
2001	9
2002	2
2003	7
2004	5
2005	9
2006	11
2007	3
2008	5
2009	6
2010	4
