Valor_ADC_12bits	Frecuencia
2011	5
2012	8
2013	5
2014	7
2015	9
2016	12
2017	10
2018	6
2019	6
2020	5
2021	8
2022	5
2023	7
2024	5
2025	7
2026	3
2027	3
2028	7
2029	5
2030	4
2031	2
2032	6
2033	9
2034	8
2035	7
2036	5
2037	9
2038	7
2039	4
2040	3
2041	3
2042	5
2043	3
2044	5
2045	8
2046	5
2048	4
2049	5
2050	7
2051	8
2052	3
2053	5
2054	6
2055	3
2056	6
2057	3
2058	7
2059	9
2060	7
2061	8
2063	7
2064	4
2065	4
2066	7
2067	6
2068	5
2069	10
2070	5
2071	8
2072	9
2073	3
2074	6
2075	10
2076	7
2077	6
2078	8
2079	5
2080	6
2081	4
2082	13
2083	10
2084	7
2085	6
2086	5
2087	3
2088	5
2089	6
2090	9
2091	4
2092	4
2093	5
2094	10
2095	4
2096	7
2097	6
2098	10
2099	7
2100	5
2101	3
2102	7
2103	6
2104	1
2105	9
2106	4
2107	7
2108	8
2109	4
2110	4
2111	7
2112	2
2113	7
2114	8
2115	7
2116	10
2117	2
2118	5
2119	2
2120	3
2121	6
2122	4
2123	3
2124	4
2125	2
2126	8
2127	5
2128	9
2129	5
2130	5
2131	3
2132	5
2133	10
2134	9
2135	2
2136	3
2137	6
2138	8
2139	8
2140	5
2141	6
2142	12
2143	5
2144	9
2145	5
2146	6
2147	10
2148	9
2149	13
2150	3
2151	2
2152	9
2153	7
2154	11
2155	5
2156	8
2157	4
2158	5
2159	2
2160	3
2161	11
2162	6
2163	5
2164	6
2165	9
2166	6
2167	7
2168	7
2169	3
2170	6
2171	7
2172	3
2173	6
2174	7
2175	2
2176	9
2177	5
2178	6
2179	4
2180	9
2181	6
2182	6
2183	4
2184	7
2185	5
2186	7
2187	6
2188	12
2189	6
2190	5
2191	4
2192	14
2193	5
2194	4
2195	4
2196	10
2197	6
2198	9
2199	6
2200	8
2201	7
2202	4
2203	10
2204	9
2205	7
2206	5
2207	4
2208	6
2209	7
2210	9
2211	3
2212	3
2213	7
2214	8
2215	3
2216	8
2217	10
2218	8
2219	5
2220	6
2221	5
2222	7
2223	3
2224	11
2225	9
2226	4
2227	10
2228	5
2229	11
2230	7
2231	6
2232	5
2233	3
2234	7
2235	5
2236	7
2237	6
2238	15
2239	4
2240	3
2241	6
2242	7
2243	4
2244	8
2245	7
2246	8
2247	7
2248	12
2249	8
2250	3
2251	6
2252	5
2253	8
2254	14
2255	10
2256	10
2257	8
2258	7
2259	11
2260	5
2261	7
2262	7
2263	4
2264	12
2265	9
2266	6
2267	6
2268	6
2269	7
2270	9
2271	4
2272	6
2273	2
2274	9
2275	9
2276	5
2277	8
2278	5
2279	3
2280	3
2281	7
2282	6
2283	3
2284	3
2285	9
2286	7
2287	8
2288	6
2289	6
2290	6
2291	3
2292	6
2293	6
2294	6
2295	2
2296	11
2297	5
2298	8
2299	7
2300	10
2301	7
2302	1
2303	15
2304	7
2305	4
2306	5
2307	3
2308	8
2309	2
2310	2
2311	4
2312	9
2313	8
2314	4
2315	8
2316	9
2317	13
2318	8
2319	5
2320	7
2321	9
2322	11
2323	11
2324	9
2325	13
2326	11
2327	5
2328	6
2329	9
2330	2
2331	9
2332	5
2333	9
2334	13
2335	8
2336	6
2337	3
2338	5
2339	5
2340	5
2341	12
2342	11
2343	5
2344	8
2345	6
2346	6
2347	7
2348	3
2349	11
2350	7
2351	6
2352	9
2353	6
2354	6
2355	6
2356	5
2357	9
2358	10
2359	2
2360	10
2361	12
2362	10
2363	7
2364	10
2365	11
2366	8
2367	6
2368	14
2369	5
2370	13
2371	7
2372	10
2373	11
2374	5
2375	6
2376	4
2377	7
2378	8
2379	13
2380	7
2381	3
2382	7
2383	7
2384	9
2385	4
2386	8
2387	6
2388	6
2389	7
2390	10
2391	8
2392	3
2393	10
2394	8
2395	13
2396	7
2397	7
2398	4
2399	13
2400	11
2401	4
2402	12
2403	7
2404	12
2405	4
2406	5
2407	8
2408	9
2409	14
2410	6
2411	7
2412	9
2413	11
2414	5
2415	10
2416	9
2417	12
2418	15
2419	10
2420	14
2421	5
2422	9
2423	4
2424	2
2425	7
2426	15
2427	10
2428	12
2429	14
2430	20
2431	5
2432	12
2433	12
2434	17
2435	9
2436	12
2437	14
2438	9
2439	13
2440	6
2441	15
2442	10
2443	8
2444	14
2445	17
2446	9
2447	12
2448	15
2449	10
2450	19
2451	6
2452	16
2453	13
2454	9
2455	9
2456	10
2457	10
2458	10
2459	15
2460	14
2461	14
2462	10
2463	14
2464	13
2465	15
2466	13
2467	20
2468	8
2469	19
2470	15
2471	12
2472	12
2473	11
2474	11
2475	16
2476	13
2477	11
2478	21
2479	14
2480	19
2481	21
2482	18
2483	17
2484	19
2485	20
2486	20
2487	13
2488	16
2489	23
2490	16
2491	21
2492	14
2493	17
2494	18
2495	15
2496	27
2497	17
2498	20
2499	16
2500	31
2501	27
2502	23
2503	9
2504	18
2505	26
2506	20
2507	26
2508	21
2509	36
2510	24
2511	24
2512	25
2513	22
2514	18
2515	34
2516	35
2517	35
2518	29
2519	27
2520	43
2521	46
2522	46
2523	41
2524	49
2525	65
2526	80
2527	66
2528	47
2529	16
2530	10
2531	8
2532	4
2533	4
2534	1
2535	3
2536	6
2538	2
2539	2
2541	1
2542	1
2547	1
2552	1
2565	1
