n,t_us,dec,bin,hex,volts
0,530,309,000100110101,0x135,0.249011
1,1793,68,000001000100,0x044,0.054799
2,2747,613,001001100101,0x265,0.493993
3,3657,1541,011000000101,0x605,1.241831
4,4561,2591,101000011111,0xA1F,2.087985
5,5466,3409,110101010001,0xD51,2.747180
6,6388,3748,111010100100,0xEA4,3.020366
7,7305,3480,110110011000,0xD98,2.804396
8,8202,2725,101010100101,0xAA5,2.195971
9,9115,1678,011010001110,0x68E,1.352234
10,10031,703,001010111111,0x2BF,0.566520
11,10937,95,000001011111,0x05F,0.076557
12,11841,77,000001001101,0x04D,0.062051
13,16457,3747,111010100011,0xEA3,3.019560
14,17635,3255,110010110111,0xCB7,2.623077
15,18582,2301,100011111101,0x8FD,1.854286
16,19490,1247,010011011111,0x4DF,1.004908
17,20404,405,000110010101,0x195,0.326374
18,21311,21,000000010101,0x015,0.016923
19,22216,235,000011101011,0x0EB,0.189377
20,23134,975,001111001111,0x3CF,0.785714
21,24046,2006,011111010110,0x7D6,1.616557
22,24952,2992,101110110000,0xBB0,2.411136
23,25859,3626,111000101010,0xE2A,2.922051
24,26759,3723,111010001011,0xE8B,3.000220
25,30069,662,001010010110,0x296,0.533480
26,31255,32,000000100000,0x020,0.025788
27,32197,224,000011100000,0x0E0,0.180513
28,33120,965,001111000101,0x3C5,0.777656
29,34035,1992,011111001000,0x7C8,1.605275
30,34939,2981,101110100101,0xBA5,2.402271
31,35836,3612,111000011100,0xE1C,2.910769
32,36734,3721,111010001001,0xE89,2.998608
33,37620,3263,110010111111,0xCBF,2.629524
34,38521,2370,100101000010,0x942,1.909890
35,39387,1365,010101010101,0x555,1.100000
36,40243,529,001000010001,0x211,0.426300
37,41154,51,000000110011,0x033,0.041099
38,42044,148,000010010100,0x094,0.119267
39,42946,795,001100011011,0x31B,0.640659
