n,t_us,dec,bin,hex,volts
0,557,3120,110000110000,0xC30,2.514286
1,1859,2624,101001000000,0xA40,2.114579
2,2821,2181,100010000101,0x885,1.757582
3,3747,1748,011011010100,0x6D4,1.408645
4,4665,1329,010100110001,0x531,1.070989
5,5574,936,001110101000,0x3A8,0.754286
6,6470,604,001001011100,0x25C,0.486740
7,7389,328,000101001000,0x148,0.264322
8,8317,110,000001101110,0x06E,0.088645
9,9233,29,000000011101,0x01D,0.023370
10,10144,31,000000011111,0x01F,0.024982
11,11051,124,000001111100,0x07C,0.099927
12,12011,272,000100010000,0x110,0.219194
13,50440,3165,110001011101,0xC5D,2.550550
14,51632,2710,101010010110,0xA96,2.183883
15,52563,2301,100011111101,0x8FD,1.854286
16,53478,1873,011101010001,0x751,1.509377
17,54394,1445,010110100101,0x5A5,1.164469
18,55309,1043,010000010011,0x413,0.840513
19,56215,691,001010110011,0x2B3,0.556850
20,57121,394,000110001010,0x18A,0.317509
21,58025,179,000010110011,0x0B3,0.144249
22,58925,57,000000111001,0x039,0.045934
23,59839,19,000000010011,0x013,0.015311
24,60740,100,000001100100,0x064,0.080586
25,64044,1021,001111111101,0x3FD,0.822784
26,65226,1542,011000000110,0x606,1.242637
27,66171,1984,011111000000,0x7C0,1.598828
28,67098,2408,100101101000,0x968,1.940513
29,68001,2808,101011111000,0xAF8,2.262857
30,68902,3140,110001000100,0xC44,2.530403
31,69811,3421,110101011101,0xD5D,2.756850
32,70709,3621,111000100101,0xE25,2.918022
33,71604,3727,111010001111,0xE8F,3.003443
34,72497,3749,111010100101,0xEA5,3.021172
35,73398,3653,111001000101,0xE45,2.943809
36,74318,3493,110110100101,0xDA5,2.814872
37,75221,3238,110010100110,0xCA6,2.609377
38,76139,2902,101101010110,0xB56,2.338608
39,77034,2540,100111101100,0x9EC,2.046886
