n,t_us,dec,bin,hex,volts
0,565,2100,100000110100,0x834,1.692308
1,1874,3381,110100110101,0xD35,2.724615
2,3345,3674,111001011010,0xE5A,2.960733
3,5007,2338,100100100010,0x922,1.884103
4,6672,546,001000100010,0x222,0.440000
5,8337,90,000001011010,0x05A,0.072527
6,10009,1430,010110010110,0x596,1.152381
7,11673,3231,110010011111,0xC9F,2.603736
8,13341,3673,111001011001,0xE59,2.959927
9,15000,2352,100100110000,0x930,1.895385
10,16668,547,001000100011,0x223,0.440806
11,18338,87,000001010111,0x057,0.070110
12,19998,1402,010101111010,0x57A,1.129817
13,57599,52,000000110100,0x034,0.041905
14,58787,298,000100101010,0x12A,0.240147
15,59744,1133,010001101101,0x46D,0.913040
16,60662,2187,100010001011,0x88B,1.762418
17,61578,3145,110001001001,0xC49,2.534432
18,62478,3686,111001100110,0xE66,2.970403
19,63372,3669,111001010101,0xE55,2.956704
20,64273,3098,110000011010,0xC1A,2.496556
21,65183,2137,100001011001,0x859,1.722125
22,66085,1103,010001001111,0x44F,0.888864
23,66992,309,000100110101,0x135,0.249011
24,67906,19,000000010011,0x013,0.015311
25,71218,2813,101011111101,0xAFD,2.266886
26,72393,3655,111001000111,0xE47,2.945421
27,73333,3682,111001100010,0xE62,2.967179
28,74242,3126,110000110110,0xC36,2.519121
29,75147,2185,100010001001,0x889,1.760806
30,76061,1130,010001101010,0x46A,0.910623
31,76971,326,000101000110,0x146,0.262711
32,77879,11,000000001011,0x00B,0.008864
33,78762,283,000100011011,0x11B,0.228059
34,79672,1056,010000100000,0x420,0.850989
35,80575,2092,100000101100,0x82C,1.685861
36,81476,3050,101111101010,0xBEA,2.457876
37,82379,3650,111001000010,0xE42,2.941392
38,83279,3694,111001101110,0xE6E,2.976850
39,84178,3182,110001101110,0xC6E,2.564249
