n,t_us,dec,bin,hex,volts
0,557,3182,110001101110,0xC6E,2.564249
1,1868,2943,101101111111,0xB7F,2.371648
2,2817,2761,101011001001,0xAC9,2.224982
3,3728,2565,101000000101,0xA05,2.067033
4,4640,2357,100100110101,0x935,1.899414
5,5530,2155,100001101011,0x86B,1.736630
6,6433,1944,011110011000,0x798,1.566593
7,7348,1732,011011000100,0x6C4,1.395751
8,8252,1518,010111101110,0x5EE,1.223297
9,9155,1317,010100100101,0x525,1.061319
10,10051,1120,010001100000,0x460,0.902564
11,11008,921,001110011001,0x399,0.742198
12,12011,730,001011011010,0x2DA,0.588278
13,52370,2848,101100100000,0xB20,2.295091
14,53569,2597,101000100101,0xA25,2.092820
15,54509,2383,100101001111,0x94F,1.920366
16,55430,2180,100010000100,0x884,1.756777
17,56350,1968,011110110000,0x7B0,1.585934
18,57244,1752,011011011000,0x6D8,1.411868
19,58142,1547,011000001011,0x60B,1.246667
20,59051,1336,010100111000,0x538,1.076630
21,59923,1144,010001111000,0x478,0.921905
22,60840,955,001110111011,0x3BB,0.769597
23,61738,773,001100000101,0x305,0.622930
24,62638,616,001001101000,0x268,0.496410
25,65945,172,000010101100,0x0AC,0.138608
26,67129,78,000001001110,0x04E,0.062857
27,68081,36,000000100100,0x024,0.029011
28,68988,31,000000011111,0x01F,0.024982
29,69893,31,000000011111,0x01F,0.024982
30,70803,58,000000111010,0x03A,0.046740
31,71700,107,000001101011,0x06B,0.086227
32,72611,187,000010111011,0x0BB,0.150696
33,73503,275,000100010011,0x113,0.221612
34,74405,393,000110001001,0x189,0.316703
35,75303,540,001000011100,0x21C,0.435165
36,76215,696,001010111000,0x2B8,0.560879
37,77136,874,001101101010,0x36A,0.704322
38,78043,1056,010000100000,0x420,0.850989
39,78950,1251,010011100011,0x4E3,1.008132
